country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,opposite_of_crime_index,adjusted_net_national_income,current_account_balance,gdp_per_capita,population_growth,fixed_broadband_subscriptions,secure_internet_servers,consumer_price_index,"inflation,_consumer_prices",access_to_electricity,forest_area,land_area,population_density,urban_population
Finland,2.0934309290585786,1.1459681005347753,1.261413757421955,1.0745305933341944,1.5050663660677686,-0.4650894876038265,2.9841705995643237,2.1247619598183336,-0.10260923505219678,0.3974824264480029,1.4364727172197016,-0.956017300043584,1.1069647841621593,1.0953349145185698,1.1266236278085853,1.169924777893596,0.5525109136520151,1.7318292151017556,-0.1702395983495413,-0.21488107121642203,1.0114242658149781
Denmark,1.9226271404568456,1.291131340373806,1.2076812411075915,1.0859115985666505,1.3881140251711088,0.4923158577508999,2.9684320991295303,2.2145867164044986,-0.04617605127630486,1.2067066834906557,1.9644800760476708,-0.8154631793699184,1.8596066927742574,4.401884495570372,1.1280571872202456,1.1774137483925993,0.5525109136520151,-0.6614908586363869,-0.32124677240644745,-0.15139054396098242,1.1192080647310754
Iceland,1.8496893064052948,1.2506760112383382,1.483508158187993,1.2338646665885813,1.3812344757065995,1.4860783681190972,0.2850177749972212,2.3765335403226207,-0.23612281383331254,0.4062231544214316,1.887291475683998,0.4489970674303284,1.650938652805407,0.9915058183398306,1.1117894881423898,1.1205946085697296,0.5525109136520151,-1.288536820726446,-0.28644165571244323,-0.22212607389961406,1.3589948770946276
Switzerland,1.8081424389075753,1.4648512831319893,1.146784389284645,1.3419842162969144,1.0991729476617151,-0.004565397433198734,2.409715333694357,2.516188088883592,0.11384437518682226,0.6037890988664129,3.08146274110493,-0.416174148353183,1.9800085886206957,1.7445958865138198,1.136577802074819,1.2052890290755345,0.5525109136520151,0.015201873796663734,-0.321523685645415,-0.11517783782919241,0.530274733293025
Netherlands,1.718585857856937,1.2720935384277037,1.0751410341988263,1.1428166247289315,0.920304661584471,1.4981974231235873,2.079206824563691,2.1529551315935533,0.23617830384094946,1.0773524733309294,1.5926565309649627,-0.5648403214879835,1.8065551979290773,2.029488407494976,1.1232109541239406,1.159374319026825,0.5525109136520151,-0.856877592711457,-0.3248686101291673,0.03383368933741077,1.2900696466988784
Luxembourg,1.70842995691305,1.9003410026490812,0.8924504787299891,1.1598881325776158,1.2574025853454305,-0.3317798825544343,1.8352600678243907,1.6959634867719697,-0.21956834060467292,0.7718447324056993,4.336524174405626,0.490092460481308,1.3874135705520134,0.47360284691234456,1.1241982017025702,1.1626371727547187,0.5525109136520151,0.19610569949957682,-0.34274320893766136,-0.09483890411137483,1.257597651873444
Sweden,1.68996468246962,1.2126004073461334,1.0679766986902446,1.2338646665885813,1.4225117724936558,0.8558875078856061,2.811047094781594,0.786569783231746,0.05397420376429404,0.9747364788956266,1.5874389274825285,-0.4060871536283611,1.63947250939125,0.26780177234109176,1.1276798326362765,1.1706128049715794,0.5525109136520151,1.5239947983276005,-0.11108291554511751,-0.21128584271795744,1.11344355990255
Norway,1.6724226717483608,1.395839251077369,1.1933525700904275,1.1371261221127036,1.4500299703516932,0.8437684528811159,2.5120155865205156,1.7228453482320631,-0.05898992306514369,0.383685027634202,2.233304847063198,-0.5332949071569091,1.8148925820133326,0.3742284886282885,1.1197071482824872,1.1416531534964929,0.5525109136520151,0.06650128708244522,-0.13522973052930085,-0.21660287031280462,0.9059628573333953
Israel,1.671499408026189,0.9889062344794313,1.1288735505131908,1.319222205832002,0.3493020560301916,0.09238704260272301,-0.09270623543782527,1.870367758683794,-0.02078883119573927,0.905169134546517,1.240087350022539,0.5825169858089527,0.8921675447778814,-0.07714685554318892,1.1304112213785222,1.1853243485168319,0.5525109136520151,-1.0426873300650712,-0.331751818313104,-0.01203430427364604,1.3046260581723488
New Zealand,1.5200841575900579,1.050779090804264,1.1790238990732638,0.9436490331609481,1.1198115960552433,1.1831019930068416,2.5828388384770866,1.1222652239041284,-0.13530383976264632,0.20051502830965873,1.1227093951006344,0.8893853636731308,1.3237177622211245,0.061276535312792854,1.1230492851059637,1.1316268937885658,0.5525109136520151,0.24016176388342167,-0.19347543246007087,-0.21432618409693976,1.0604432924863236
